cast_vote_record,precinct,ballot_style,governor_lt_governor,comptroller,attorney_general,u_s_senator,representative_in_congress_6
14144,021-004,021-004,REP,REP,REP,REP,REP
14146,019-001,019-001,REP,REP,REP,REP,REP
14150,011-001,011-001,DEM,DEM,DEM,DEM,DEM
14152,015-002,015-002,WCP,REP,REP,REP,undervote
14154,005-002,005-002,REP,REP,REP,REP,REP
14157,011-001,011-001,REP,undervote,undervote,undervote,undervote
14159,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14161,026-002,026-002,REP,REP,REP,REP,REP
14163,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14165,015-002,015-002,REP,REP,REP,REP,undervote
14167,020-001,020-001,REP,REP,REP,REP,REP
14169,007-003,007-003,DEM,DEM,DEM,DEM,DEM
14171,011-001,011-001,DEM,DEM,DEM,DEM,DEM
14173,026-001,026-001,REP,REP,REP,REP,REP
14175,015-002,015-002,REP,REP,REP,REP,REP
14177,011-001,011-001,REP,REP,undervote,REP,REP
14179,002-015,002-015,REP,REP,REP,REP,REP
14180,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14182,026-001,026-001,DEM,DEM,DEM,DEM,DEM
14183,015-002,015-002,DEM,REP,DEM,REP,DEM
14186,004-001,004-001,REP,REP,REP,REP,REP
14188,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14190,006-001,006-001,DEM,DEM,DEM,DEM,DEM
14192,026-001,026-001,REP,REP,REP,REP,REP
14193,011-001,011-001,REP,REP,DEM,DEM,DEM
14195,011-001,011-001,REP,REP,REP,REP,REP
14197,004-001,004-001,DEM,DEM,DEM,DEM,DEM
14199,020-001,020-001,REP,REP,REP,REP,REP
14205,005-001,005-001,REP,REP,REP,REP,REP
14206,015-002,015-002,REP,REP,REP,REP,REP
14208,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14209,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14211,026-002,026-002,DEM,DEM,DEM,DEM,DEM
14213,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14216,009-001,009-001,REP,REP,REP,REP,REP
14218,023-005,023-005,DEM,DEM,DEM,DEM,DEM
14222,020-001,020-001,REP,REP,REP,REP,REP
14223,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14225,018-001,018-001,REP,REP,REP,REP,REP
14227,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14229,026-002,026-002,REP,REP,DEM,REP,REP
14232,010-002,010-002,REP,REP,REP,REP,REP
14234,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14235,004-001,004-001,REP,REP,REP,REP,REP
14237,002-017,002-017,DEM,DEM,DEM,DEM,DEM
14239,011-001,011-001,REP,REP,REP,REP,REP
14240,026-001,026-001,REP,REP,REP,REP,REP
14242,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14244,005-001,005-001,REP,REP,REP,REP,REP
14246,010-001,010-001,REP,REP,REP,DEM,DEM
14248,011-001,011-001,DEM,DEM,DEM,DEM,DEM
14251,010-001,010-001,DEM,DEM,DEM,DEM,DEM
14253,026-002,026-002,REP,REP,REP,REP,REP
14256,010-002,010-002,REP,REP,REP,REP,REP
14262,015-002,015-002,REP,REP,REP,REP,REP
14263,015-001,015-001,REP,REP,REP,REP,REP
14265,019-001,019-001,DEM,DEM,DEM,DEM,DEM
14267,010-002,010-002,REP,REP,REP,REP,REP
14271,005-001,005-001,REP,REP,REP,REP,REP
14272,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14274,011-001,011-001,DEM,DEM,DEM,DEM,DEM
14279,010-002,010-002,REP,REP,REP,REP,REP
14280,013-001,013-001,REP,REP,REP,REP,REP
14282,015-002,015-002,DEM,REP,REP,REP,DEM
14284,008-001,008-001,REP,REP,REP,REP,REP
14286,020-001,020-001,REP,REP,REP,REP,REP
14289,017-001,017-001,REP,REP,REP,REP,REP
14290,017-001,017-001,REP,REP,REP,REP,REP
14294,015-002,015-002,REP,REP,REP,REP,REP
14295,015-002,015-002,REP,REP,REP,REP,REP
14298,020-001,020-001,REP,REP,REP,REP,REP
14299,015-002,015-002,REP,REP,REP,REP,REP
14301,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14303,002-015,002-015,DEM,DEM,DEM,DEM,DEM
14305,002-015,002-015,REP,REP,REP,REP,REP
14306,015-002,015-002,REP,REP,REP,REP,REP
14307,009-006,009-006,REP,REP,REP,REP,REP
14309,011-001,011-001,REP,REP,REP,REP,REP
14311,015-001,015-001,REP,REP,REP,REP,REP
14313,015-002,015-002,REP,REP,REP,REP,REP
14315,013-001,013-001,DEM,DEM,DEM,DEM,DEM
14317,010-002,010-002,REP,REP,REP,REP,REP
14320,004-001,004-001,undervote,REP,REP,REP,REP
14326,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14328,011-001,011-001,REP,REP,REP,REP,REP
14330,015-002,015-002,REP,REP,REP,REP,REP
14333,015-002,015-002,REP,REP,REP,REP,REP
14335,020-001,020-001,REP,REP,REP,REP,REP
14337,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14339,011-001,011-001,REP,REP,REP,REP,REP
14340,020-001,020-001,REP,REP,REP,REP,REP
14341,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14344,011-001,011-001,REP,REP,REP,REP,REP
14346,005-001,005-001,REP,REP,REP,REP,REP
14347,005-001,005-001,REP,REP,REP,REP,REP
14348,015-002,015-002,REP,REP,REP,REP,REP
14349,011-001,011-001,REP,DEM,REP,DEM,DEM
14351,024-005,024-005,REP,REP,REP,REP,REP
14352,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14353,015-002,015-002,REP,REP,REP,DEM,REP
14354,026-002,026-002,REP,REP,REP,REP,REP
14356,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14357,015-002,015-002,REP,REP,REP,REP,REP
14360,015-002,015-002,REP,REP,REP,REP,REP
14361,026-001,026-001,DEM,DEM,undervote,undervote,undervote
14363,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14365,015-002,015-002,REP,REP,REP,REP,REP
14366,026-001,026-001,REP,REP,REP,REP,REP
14368,010-002,010-002,REP,REP,REP,REP,REP
14370,026-001,026-001,DEM,DEM,DEM,DEM,DEM
14372,015-001,015-001,REP,REP,REP,REP,REP
14376,017-001,017-001,REP,REP,REP,REP,REP
14377,010-002,010-002,LIB,REP,REP,REP,REP
14379,002-015,002-015,DEM,DEM,DEM,DEM,DEM
14380,011-001,011-001,REP,REP,REP,REP,REP
14381,015-002,015-002,REP,REP,REP,REP,REP
14383,008-001,008-001,REP,REP,REP,REP,REP
14386,015-002,015-002,REP,REP,REP,REP,REP
14389,018-002,018-002,REP,REP,REP,REP,REP
14390,002-005,002-005,DEM,DEM,DEM,DEM,DEM
14391,026-001,026-001,DEM,DEM,DEM,DEM,DEM
14392,015-002,015-002,REP,REP,REP,REP,REP
14394,011-001,011-001,REP,REP,REP,REP,REP
14397,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14399,026-001,026-001,REP,REP,REP,REP,REP
14401,005-002,005-002,DEM,DEM,DEM,DEM,DEM
14403,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14405,010-002,010-002,REP,REP,REP,REP,REP
14407,015-002,015-002,REP,REP,REP,REP,REP
14408,006-001,006-001,REP,REP,REP,REP,REP
14409,011-001,011-001,REP,REP,REP,REP,REP
14412,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14417,010-001,010-001,REP,REP,REP,REP,REP
14418,015-002,015-002,DEM,DEM,REP,DEM,DEM
14419,010-002,010-002,DEM,DEM,DEM,DEM,DEM
14420,020-001,020-001,WCP,REP,REP,REP,REP
14422,015-002,015-002,REP,REP,REP,REP,REP
14425,009-004,009-004,REP,REP,REP,REP,REP
14426,015-002,015-002,REP,REP,REP,REP,REP
14430,026-002,026-002,REP,DEM,DEM,DEM,DEM
14433,020-001,020-001,REP,REP,REP,REP,REP
14435,026-001,026-001,DEM,DEM,DEM,DEM,DEM
14437,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14439,026-002,026-002,REP,REP,REP,REP,REP
14442,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14444,015-001,015-001,REP,REP,REP,REP,REP
14445,013-001,013-001,DEM,DEM,DEM,DEM,DEM
14447,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14450,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14451,015-002,015-002,REP,REP,REP,REP,REP
14452,002-017,002-017,DEM,REP,DEM,DEM,DEM
14453,015-002,015-002,REP,REP,REP,REP,REP
14456,026-001,026-001,REP,REP,REP,REP,REP
14458,011-001,011-001,REP,REP,REP,REP,REP
14460,010-001,010-001,REP,REP,REP,REP,REP
14463,005-001,005-001,REP,REP,REP,REP,REP
14464,017-001,017-001,DEM,DEM,DEM,DEM,DEM
14466,013-001,013-001,REP,REP,REP,REP,REP
14467,010-002,010-002,REP,REP,REP,REP,REP
14468,017-001,017-001,REP,REP,REP,REP,REP
14470,002-010,002-010,DEM,DEM,DEM,DEM,DEM
14472,015-002,015-002,REP,REP,REP,REP,REP
14474,015-002,015-002,REP,REP,REP,REP,REP
14475,015-003,015-003,DEM,DEM,DEM,DEM,DEM
14477,015-002,015-002,REP,undervote,undervote,undervote,REP
14479,010-002,010-002,REP,REP,REP,REP,REP
14480,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14483,005-001,005-001,REP,REP,REP,REP,REP
14485,026-002,026-002,DEM,DEM,DEM,DEM,DEM
14487,015-002,015-002,REP,REP,REP,REP,REP
14488,015-002,015-002,DEM,REP,DEM,REP,DEM
14490,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14491,026-001,026-001,REP,REP,REP,REP,REP
14492,026-002,026-002,REP,REP,REP,REP,REP
14494,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14496,015-001,015-001,REP,REP,REP,REP,REP
14498,015-002,015-002,REP,REP,REP,REP,REP
14500,002-015,002-015,REP,REP,REP,REP,REP
14501,020-001,020-001,REP,REP,REP,REP,REP
14502,009-002,009-002,REP,REP,REP,REP,REP
14504,020-001,020-001,REP,REP,REP,REP,REP
14505,015-001,015-001,REP,REP,REP,REP,REP
14506,002-010,002-010,DEM,DEM,DEM,DEM,DEM
14507,010-002,010-002,REP,REP,REP,REP,REP
14509,015-002,015-002,REP,REP,REP,REP,REP
14511,011-001,011-001,REP,REP,REP,DEM,DEM
14514,015-002,015-002,REP,REP,REP,REP,REP
14516,010-002,010-002,REP,REP,REP,REP,REP
14517,005-002,005-002,DEM,DEM,DEM,DEM,DEM
14521,013-001,013-001,REP,REP,REP,REP,REP
14523,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14524,004-001,004-001,DEM,REP,DEM,REP,undervote
14525,019-001,019-001,REP,REP,REP,REP,REP
14526,026-002,026-002,DEM,DEM,DEM,DEM,DEM
14529,015-002,015-002,DEM,REP,DEM,DEM,DEM
14530,021-004,021-004,REP,REP,REP,REP,REP
14531,015-002,015-002,REP,REP,REP,REP,REP
14533,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14535,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14536,005-001,005-001,REP,REP,REP,REP,REP
14537,015-002,015-002,REP,REP,REP,REP,REP
14541,015-002,015-002,REP,REP,REP,REP,REP
14543,021-001,021-001,REP,REP,REP,REP,REP
14545,026-001,026-001,REP,REP,REP,DEM,DEM
14551,011-001,011-001,REP,REP,REP,REP,REP
14552,021-002,021-002,DEM,DEM,DEM,DEM,DEM
14555,015-002,015-002,DEM,REP,REP,REP,DEM
14558,026-001,026-001,REP,REP,REP,REP,REP
14560,005-001,005-001,REP,REP,REP,REP,REP
14562,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14565,011-001,011-001,DEM,DEM,DEM,DEM,DEM
14567,026-001,026-001,REP,REP,REP,REP,REP
14570,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14576,005-001,005-001,REP,REP,REP,REP,REP
14577,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14580,015-002,015-002,undervote,undervote,undervote,undervote,REP
14582,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14585,015-002,015-002,REP,REP,REP,REP,REP
14588,009-006,009-006,DEM,DEM,DEM,DEM,DEM
14590,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14592,015-001,015-001,REP,REP,REP,REP,REP
14595,017-001,017-001,DEM,REP,DEM,DEM,DEM
14599,026-001,026-001,REP,REP,REP,REP,REP
14600,021-003,021-003,REP,REP,REP,REP,REP
14601,004-001,004-001,DEM,DEM,DEM,DEM,DEM
14605,010-001,010-001,REP,REP,REP,DEM,REP
14607,026-002,026-002,REP,REP,REP,REP,REP
14609,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14613,015-002,015-002,REP,REP,REP,REP,REP
14616,015-002,015-002,REP,REP,REP,REP,REP
14620,008-001,008-001,REP,REP,REP,REP,REP
14622,020-001,020-001,REP,REP,REP,REP,REP
14623,011-001,011-001,REP,REP,REP,REP,DEM
14627,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14628,006-001,006-001,REP,REP,REP,REP,REP
14629,020-001,020-001,REP,REP,REP,REP,REP
14632,012-001,012-001,DEM,DEM,DEM,DEM,DEM
14634,015-002,015-002,REP,REP,REP,REP,REP
14635,004-001,004-001,DEM,DEM,DEM,DEM,DEM
14637,015-002,015-002,DEM,REP,DEM,undervote,undervote
14639,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14641,024-002,024-002,REP,REP,REP,REP,REP
14642,004-001,004-001,REP,REP,REP,REP,REP
14644,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14646,015-002,015-002,REP,REP,REP,REP,REP
14649,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14651,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14653,026-002,026-002,DEM,REP,DEM,DEM,DEM
14654,004-001,004-001,DEM,DEM,DEM,DEM,DEM
14655,015-002,015-002,REP,REP,REP,REP,REP
14656,011-001,011-001,DEM,DEM,DEM,DEM,DEM
14657,015-002,015-002,REP,REP,REP,REP,REP
14659,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14661,017-001,017-001,REP,REP,REP,REP,REP
14662,005-002,005-002,DEM,DEM,DEM,DEM,DEM
14663,006-001,006-001,REP,REP,REP,REP,REP
14668,010-002,010-002,REP,REP,REP,REP,REP
14669,015-002,015-002,REP,REP,REP,REP,REP
14671,020-001,020-001,WCP,REP,REP,REP,REP
14673,026-001,026-001,REP,REP,REP,REP,REP
14676,015-002,015-002,REP,REP,REP,REP,REP
14678,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14679,018-002,018-002,REP,REP,REP,REP,REP
14682,015-002,015-002,REP,REP,REP,REP,REP
14684,015-002,015-002,DEM,REP,DEM,DEM,DEM
14686,015-002,015-002,REP,REP,REP,REP,REP
14688,015-002,015-002,REP,REP,REP,REP,REP
14690,004-001,004-001,REP,REP,REP,REP,REP
14692,014-002,014-002,REP,REP,DEM,REP,DEM
14696,009-009,009-009,DEM,DEM,DEM,DEM,DEM
14697,026-001,026-001,REP,REP,REP,REP,REP
14699,005-001,005-001,REP,REP,REP,REP,REP
14700,020-001,020-001,REP,undervote,REP,DEM,DEM
14702,015-002,015-002,REP,REP,REP,REP,REP
14703,015-002,015-002,REP,REP,REP,REP,REP
14704,015-001,015-001,REP,REP,REP,REP,REP
14706,015-002,015-002,REP,REP,REP,REP,REP
14708,020-001,020-001,REP,REP,REP,REP,REP
14709,015-002,015-002,WCP,REP,REP,DEM,DEM
14712,015-001,015-001,REP,REP,REP,REP,REP
14713,005-001,005-001,REP,REP,REP,REP,REP
14714,005-001,005-001,REP,REP,REP,REP,REP
14716,020-001,020-001,DEM,REP,DEM,DEM,DEM
14718,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14721,015-001,015-001,REP,REP,REP,REP,REP
14722,019-001,019-001,REP,REP,REP,REP,REP
14724,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14726,021-001,021-001,REP,REP,REP,REP,REP
14728,011-001,011-001,DEM,REP,DEM,DEM,DEM
14730,013-001,013-001,REP,REP,REP,REP,REP
14731,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14732,026-002,026-002,DEM,DEM,DEM,DEM,DEM
14736,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14738,015-002,015-002,REP,REP,REP,REP,REP
14739,020-001,020-001,REP,REP,REP,REP,REP
14742,015-002,015-002,REP,REP,REP,REP,REP
14745,015-001,015-001,REP,REP,REP,DEM,DEM
14747,004-001,004-001,REP,REP,REP,REP,REP
14749,005-001,005-001,REP,REP,REP,REP,REP
14753,010-002,010-002,REP,REP,REP,REP,REP
14755,015-002,015-002,REP,REP,REP,REP,REP
14756,015-002,015-002,REP,REP,REP,REP,DEM
14758,004-001,004-001,REP,REP,REP,REP,REP
14759,020-001,020-001,DEM,DEM,DEM,DEM,DEM
14761,011-001,011-001,REP,REP,REP,REP,REP
14763,021-004,021-004,LIB,REP,DEM,DEM,DEM
14764,015-001,015-001,REP,REP,REP,REP,REP
14765,010-001,010-001,REP,REP,REP,REP,REP
14768,017-001,017-001,REP,REP,REP,REP,REP
14769,026-002,026-002,REP,REP,REP,REP,REP
14770,015-002,015-002,undervote,undervote,undervote,undervote,undervote
14771,015-002,015-002,REP,REP,REP,REP,REP
14772,015-002,015-002,REP,REP,REP,REP,REP
14774,002-015,002-015,DEM,DEM,DEM,DEM,DEM
14775,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14777,015-002,015-002,REP,REP,REP,REP,REP
14780,015-002,015-002,REP,REP,REP,REP,REP
14781,020-001,020-001,REP,REP,REP,REP,REP
14783,013-001,013-001,REP,REP,undervote,REP,REP
14787,015-002,015-002,REP,REP,REP,REP,REP
14788,015-002,015-002,REP,REP,REP,REP,REP
14792,015-002,015-002,DEM,undervote,DEM,REP,DEM
14795,020-001,020-001,REP,REP,REP,REP,REP
14796,005-002,005-002,DEM,DEM,DEM,DEM,DEM
14797,026-002,026-002,REP,REP,REP,REP,REP
14799,015-002,015-002,REP,REP,REP,REP,REP
14801,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14802,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14805,004-001,004-001,DEM,DEM,DEM,DEM,DEM
14806,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14807,002-015,002-015,DEM,DEM,DEM,DEM,DEM
14810,010-002,010-002,REP,REP,REP,REP,REP
14811,004-001,004-001,REP,REP,REP,REP,REP
14813,017-001,017-001,REP,REP,REP,REP,REP
14814,015-002,015-002,REP,REP,REP,REP,REP
14815,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14817,017-001,017-001,DEM,DEM,DEM,DEM,DEM
14819,026-002,026-002,REP,REP,REP,REP,REP
14820,017-001,017-001,DEM,DEM,DEM,DEM,DEM
14822,018-002,018-002,DEM,DEM,DEM,DEM,DEM
14823,015-002,015-002,REP,REP,REP,REP,REP
14825,015-001,015-001,REP,REP,REP,REP,REP
14826,005-001,005-001,REP,REP,REP,REP,REP
14829,002-010,002-010,REP,REP,REP,REP,REP
14831,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14835,011-001,011-001,REP,REP,REP,REP,REP
14838,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14841,011-001,011-001,REP,REP,REP,REP,REP
14844,002-017,002-017,REP,REP,REP,REP,REP
14846,015-002,015-002,REP,REP,REP,REP,REP
14848,015-001,015-001,undervote,undervote,undervote,undervote,undervote
14850,002-015,002-015,DEM,DEM,DEM,DEM,DEM
14851,010-001,010-001,REP,REP,REP,REP,REP
14854,011-001,011-001,REP,REP,REP,REP,REP
14856,017-001,017-001,REP,REP,REP,REP,REP
14859,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14862,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14863,015-001,015-001,DEM,DEM,DEM,DEM,DEM
14864,026-001,026-001,REP,REP,REP,REP,REP
14866,005-001,005-001,REP,REP,REP,REP,REP
14867,015-002,015-002,REP,REP,REP,REP,REP
14869,005-001,005-001,DEM,REP,REP,REP,REP
14872,015-002,015-002,WCP,DEM,DEM,DEM,DEM
14874,015-002,015-002,REP,REP,REP,REP,REP
14877,008-001,008-001,DEM,DEM,DEM,DEM,DEM
14878,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14879,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14882,015-002,015-002,REP,REP,REP,REP,REP
14884,015-002,015-002,DEM,DEM,DEM,DEM,DEM
14886,015-002,015-002,REP,REP,REP,REP,REP
14889,015-002,015-002,DEM,REP,DEM,DEM,DEM
14893,015-001,015-001,DEM,DEM,DEM,DEM,DEM
14896,005-001,005-001,REP,REP,REP,REP,REP
14897,015-002,015-002,REP,REP,REP,REP,REP
14898,011-001,011-001,REP,REP,REP,REP,REP
14899,026-001,026-001,DEM,REP,REP,REP,REP
14900,015-002,015-002,DEM,undervote,DEM,DEM,DEM
14903,002-007,002-007,REP,REP,undervote,REP,REP
14904,008-001,008-001,REP,REP,REP,REP,REP
14906,020-001,020-001,REP,REP,REP,REP,REP
14907,026-002,026-002,REP,REP,DEM,REP,REP
14909,015-001,015-001,REP,REP,REP,REP,REP
14910,021-004,021-004,DEM,DEM,DEM,DEM,DEM
14911,015-002,015-002,NA,DEM,DEM,DEM,DEM
14912,010-001,010-001,REP,REP,REP,REP,REP
14914,015-002,015-002,REP,REP,REP,REP,REP
14916,002-015,002-015,DEM,DEM,DEM,DEM,DEM
14919,015-002,015-002,REP,REP,REP,REP,REP
14921,015-002,015-002,REP,REP,REP,REP,REP
14922,011-001,011-001,DEM,REP,REP,REP,REP
14923,020-001,020-001,REP,REP,REP,DEM,REP
14924,017-001,017-001,REP,REP,REP,REP,REP
14927,015-002,015-002,REP,REP,REP,REP,REP
14928,026-001,026-001,REP,REP,undervote,REP,REP
14930,010-002,010-002,REP,REP,REP,REP,REP
14932,015-002,015-002,REP,REP,REP,REP,REP
14934,002-010,002-010,REP,REP,REP,REP,REP
14935,002-015,002-015,REP,REP,REP,REP,REP
14936,011-001,011-001,REP,REP,REP,REP,REP
14938,020-001,020-001,undervote,REP,DEM,REP,undervote
14940,015-002,015-002,REP,REP,REP,REP,REP
14941,015-002,015-002,REP,REP,REP,REP,REP
14943,004-001,004-001,DEM,DEM,DEM,DEM,DEM
14946,015-002,015-002,REP,REP,REP,REP,REP
14948,015-002,015-002,REP,DEM,DEM,DEM,DEM
14951,018-002,018-002,REP,REP,REP,REP,REP
14953,010-002,010-002,REP,REP,REP,REP,REP
14955,011-001,011-001,REP,REP,REP,REP,REP
14956,010-002,010-002,REP,REP,REP,REP,REP
14959,002-015,002-015,DEM,DEM,DEM,DEM,DEM
14961,009-006,009-006,REP,REP,REP,REP,REP
14963,015-002,015-002,REP,REP,REP,DEM,DEM
14966,015-002,015-002,REP,REP,REP,REP,REP
14968,015-002,015-002,REP,REP,REP,REP,REP
14970,002-008,002-008,DEM,DEM,DEM,DEM,DEM
14974,005-001,005-001,DEM,DEM,DEM,DEM,DEM
14978,015-002,015-002,DEM,REP,REP,DEM,REP
14980,021-001,021-001,REP,REP,REP,REP,REP
14984,015-002,015-002,REP,REP,REP,REP,REP
14985,015-002,015-002,REP,REP,REP,REP,REP
14986,020-001,020-001,REP,REP,REP,DEM,REP
14987,015-001,015-001,DEM,DEM,DEM,DEM,DEM
14989,015-001,015-001,REP,REP,REP,REP,REP
14990,002-007,002-007,DEM,DEM,DEM,DEM,DEM
14992,010-002,010-002,REP,REP,REP,REP,REP
14994,020-001,020-001,REP,undervote,undervote,undervote,REP
14995,015-002,015-002,REP,REP,REP,REP,REP
14997,015-002,015-002,REP,REP,DEM,REP,DEM
14999,020-001,020-001,DEM,REP,REP,DEM,REP
15000,005-001,005-001,REP,REP,REP,REP,REP
15002,019-001,019-001,REP,REP,REP,REP,REP
15003,026-001,026-001,REP,REP,REP,REP,REP
15005,015-002,015-002,REP,REP,REP,REP,REP
15007,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15009,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15012,015-002,015-002,REP,REP,REP,REP,REP
15013,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15015,015-002,015-002,REP,REP,REP,REP,REP
15019,010-002,010-002,REP,REP,REP,REP,REP
15021,015-003,015-003,REP,REP,REP,REP,REP
15022,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15023,017-001,017-001,REP,REP,REP,REP,REP
15024,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15026,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15029,015-002,015-002,DEM,REP,DEM,DEM,DEM
15032,019-001,019-001,DEM,DEM,DEM,DEM,DEM
15034,005-001,005-001,REP,REP,REP,REP,REP
15036,018-002,018-002,REP,REP,REP,REP,REP
15038,015-002,015-002,REP,REP,REP,REP,REP
15041,011-001,011-001,REP,REP,REP,REP,REP
15042,008-001,008-001,DEM,DEM,DEM,DEM,DEM
15043,015-002,015-002,REP,REP,undervote,REP,REP
15045,017-001,017-001,REP,REP,DEM,REP,DEM
15047,015-002,015-002,WCP,DEM,DEM,DEM,DEM
15049,013-002,013-002,DEM,DEM,DEM,DEM,DEM
15050,026-002,026-002,REP,REP,REP,REP,REP
15052,015-002,015-002,REP,REP,REP,REP,REP
15054,005-001,005-001,REP,REP,REP,REP,REP
15055,015-001,015-001,REP,REP,REP,REP,REP
15056,020-001,020-001,DEM,DEM,DEM,DEM,DEM
15059,015-002,015-002,REP,REP,REP,REP,REP
15061,015-002,015-002,REP,REP,REP,REP,REP
15062,020-001,020-001,REP,REP,REP,REP,REP
15064,002-017,002-017,DEM,DEM,DEM,DEM,DEM
15065,021-003,021-003,REP,REP,REP,REP,REP
15066,004-001,004-001,REP,REP,REP,REP,REP
15067,015-002,015-002,REP,REP,REP,REP,REP
15069,005-002,005-002,REP,REP,REP,REP,REP
15072,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15074,015-002,015-002,REP,REP,REP,REP,REP
15075,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15078,011-001,011-001,REP,REP,REP,REP,REP
15080,005-001,005-001,DEM,DEM,DEM,DEM,DEM
15082,010-001,010-001,REP,REP,REP,REP,REP
15085,026-001,026-001,REP,REP,REP,REP,REP
15087,015-002,015-002,REP,REP,REP,REP,DEM
15089,005-001,005-001,DEM,DEM,DEM,DEM,DEM
15092,005-001,005-001,REP,REP,REP,REP,REP
15094,002-010,002-010,REP,REP,REP,REP,REP
15096,014-002,014-002,undervote,REP,REP,REP,REP
15098,011-001,011-001,REP,REP,REP,REP,REP
15100,004-001,004-001,REP,REP,REP,REP,REP
15102,015-002,015-002,DEM,DEM,DEM,REP,DEM
15105,015-002,015-002,DEM,REP,REP,DEM,REP
15107,017-001,017-001,REP,REP,REP,REP,REP
15108,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15113,021-003,021-003,DEM,DEM,DEM,DEM,DEM
15114,002-015,002-015,DEM,DEM,DEM,DEM,DEM
15117,015-002,015-002,REP,REP,REP,REP,REP
15120,015-002,015-002,DEM,DEM,DEM,DEM,DEM
15123,005-001,005-001,REP,REP,REP,REP,REP
15126,020-001,020-001,REP,REP,REP,REP,REP
15128,015-002,015-002,undervote,REP,REP,REP,DEM
15130,010-002,010-002,REP,REP,REP,REP,REP
15131,005-001,005-001,DEM,DEM,DEM,DEM,DEM
15133,015-002,015-002,REP,REP,REP,REP,REP
15135,004-001,004-001,DEM,DEM,DEM,DEM,DEM
15137,026-001,026-001,REP,REP,REP,DEM,DEM
15139,010-002,010-002,REP,REP,REP,REP,REP
15140,010-002,010-002,DEM,DEM,DEM,DEM,DEM
15142,015-002,015-002,DEM,DEM,DEM,DEM,DEM
